127.0.0.1 - - [13/Jul/2021:14:05:21 +0900] "GET / HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:22 +0900] "GET /MySQLProject/Board/board_list.jsp HTTP/1.1" 200 5010
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:22 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:22 +0900] "GET /MySQLProject/Board/img/bullet-01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:22 +0900] "GET /MySQLProject/Board/img/i_prev.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:22 +0900] "GET /MySQLProject/Board/img/i_next.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:22 +0900] "GET /MySQLProject/Board/img/search2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:22 +0900] "GET /MySQLProject/Board/img/write.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:22 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:25 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:25 +0900] "GET /MySQLProject/Board/img/bullet-04.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:25 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:25 +0900] "GET /MySQLProject/Board/img/write.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:25 +0900] "GET /MySQLProject/Board/img/edit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:25 +0900] "GET /MySQLProject/Board/img/list-2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:25 +0900] "GET /MySQLProject/Board/img/reply.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:05:25 +0900] "GET /MySQLProject/Board/img/del.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:06:25 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 5010
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:06:25 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:06:30 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:06:30 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:09:30 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:09:31 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:09:31 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:09:31 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 500 2974
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:09:31 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:09:31 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:09:31 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:09:31 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:09:32 +0900] "GET /MySQLProject/Board/board_delete.jsp?idx=3&page=1 HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:09:32 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:09:32 +0900] "GET /MySQLProject/Board/img/bullet-05.gif HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:09:35 +0900] "POST /MySQLProject/Board/board_delete_pro.jsp HTTP/1.1" 404 917
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:09:46 +0900] "GET /MySQLProject/Board/board_delete.jsp?idx=3&page=1 HTTP/1.1" 200 1271
